Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
36.0,1,4,8,1,5.6,47.4,155.4,123.0,5.9,1886.0,2.3,3.0,955.0,Work
15.0,1,3,8,0,9.2,42.7,230.9,180.0,0.5,4611.0,1.0,2.5,210.0,Gaming
41.0,2,5,6,0,8.1,44.1,81.8,25.0,1.9,5545.0,5.7,3.7,1488.0,Education
51.0,0,6,8,1,10.7,45.1,94.0,127.0,3.5,2293.0,6.7,5.0,333.0,Education
45.0,0,4,6,0,6.3,34.5,244.3,125.0,5.0,1647.0,5.9,0.2,1541.0,Entertainment
39.0,0,5,2,0,4.0,9.4,194.2,32.0,1.5,8314.0,6.7,3.5,447.0,Entertainment
40.0,0,7,4,0,8.4,25.7,262.8,174.0,1.3,3010.0,4.9,3.0,419.0,Education
28.0,0,2,9,1,5.3,16.8,264.9,84.0,1.3,9222.0,7.2,3.0,1699.0,Social Media
23.0,0,2,2,0,11.4,48.4,216.8,98.0,3.2,5026.0,2.7,4.9,1079.0,Gaming
57.0,1,3,8,1,4.1,31.2,61.5,149.0,5.1,386.0,3.9,1.0,1935.0,Social Media
23.0,0,0,8,1,10.7,29.0,9.0,175.0,2.9,633.0,6.4,0.0,1345.0,Social Media
56.0,2,6,3,0,9.4,42.1,246.7,113.0,4.9,498.0,0.9,4.3,982.0,Work
20.0,2,2,7,1,11.9,45.5,195.8,150.0,4.1,479.0,5.6,1.7,169.0,Education
22.0,2,6,1,0,1.6,34.1,6.0,153.0,5.8,5175.0,5.7,2.2,805.0,Work
19.0,1,6,0,1,5.5,2.9,212.5,129.0,5.6,8514.0,7.9,0.8,647.0,Education
49.0,2,7,7,1,5.2,43.4,151.8,114.0,5.6,3826.0,6.8,3.1,1192.0,Social Media
54.0,1,0,8,1,2.2,22.0,30.8,156.0,1.8,8307.0,1.1,3.0,1788.0,Social Media
40.0,1,1,8,1,2.5,10.6,219.1,113.0,1.8,238.0,0.9,2.2,1924.0,Work
52.0,0,6,9,1,4.4,33.8,189.3,44.0,3.8,1869.0,3.6,2.4,1382.0,Social Media
42.0,2,8,1,1,4.2,3.4,171.6,108.0,3.3,5178.0,1.3,4.8,322.0,Education
23.0,2,4,7,1,4.3,26.4,210.5,53.0,5.3,1250.0,7.5,0.6,314.0,Entertainment
51.0,2,8,7,1,10.7,17.6,293.4,65.0,5.2,3313.0,1.8,1.3,1319.0,Education
19.0,1,1,6,1,3.1,24.8,82.1,75.0,3.9,1396.0,2.0,1.6,1245.0,Social Media
52.0,2,3,9,0,1.5,41.0,95.5,140.0,5.5,8029.0,5.0,0.1,802.0,Social Media
17.0,2,7,0,1,4.7,30.4,157.7,187.0,2.6,9189.0,4.3,4.9,801.0,Entertainment
31.0,0,0,3,1,10.4,41.1,32.5,171.0,3.5,7702.0,7.1,0.8,1833.0,Education
49.0,2,5,4,0,8.6,46.0,181.8,154.0,1.6,4264.0,7.5,0.4,1142.0,Social Media
21.0,1,3,2,1,9.4,15.4,10.6,34.0,2.5,3130.0,2.5,4.8,1882.0,Education
51.0,1,7,4,1,5.4,15.8,115.7,115.0,3.2,2929.0,3.0,2.7,1772.0,Social Media
32.0,2,8,8,1,5.8,27.5,30.0,193.0,4.0,948.0,5.6,4.6,122.0,Social Media
43.0,2,1,9,1,8.6,14.4,275.5,27.0,4.7,9544.0,3.6,3.4,1395.0,Work
25.0,1,1,4,0,5.6,38.0,296.5,40.0,1.5,799.0,1.0,2.4,1831.0,Work
16.0,0,9,3,1,9.0,7.1,142.9,164.0,4.9,6088.0,2.1,1.9,686.0,Work
49.0,1,9,2,1,3.4,17.0,235.4,52.0,2.8,7018.0,7.3,4.7,2000.0,Education
35.0,1,4,9,1,3.0,8.3,253.1,18.0,2.5,9494.0,3.1,4.6,479.0,Gaming
49.0,1,9,0,0,4.5,1.9,54.5,197.0,4.3,3575.0,6.7,0.0,679.0,Entertainment
34.0,0,6,0,1,3.5,20.6,134.0,73.0,5.6,2918.0,3.0,1.0,329.0,Entertainment
38.0,2,5,5,1,1.3,9.0,119.7,36.0,2.0,5666.0,4.0,4.1,1605.0,Education
38.0,0,0,4,1,3.2,13.2,206.3,31.0,3.2,3342.0,4.2,0.3,1005.0,Work
41.0,0,3,6,0,2.5,9.3,111.0,69.0,0.6,2918.0,6.5,1.9,1699.0,Education
41.0,0,1,7,1,8.3,19.4,194.5,25.0,5.8,9918.0,5.3,3.5,782.0,Education
30.0,0,0,7,0,1.7,10.4,74.0,64.0,2.5,468.0,4.9,4.1,1361.0,Work
43.0,1,6,1,1,3.0,24.3,151.7,143.0,1.1,4443.0,6.3,0.3,546.0,Education
40.0,0,6,7,0,4.2,28.1,8.9,62.0,4.1,8932.0,7.3,0.8,209.0,Social Media
18.0,1,3,5,1,5.3,10.4,257.0,116.0,2.3,4368.0,7.6,4.2,1359.0,Gaming
24.0,0,3,0,1,11.2,14.7,241.5,158.0,1.4,563.0,2.3,3.5,1845.0,Work
51.0,0,7,5,0,11.9,47.8,21.5,68.0,4.3,7945.0,2.3,3.8,1749.0,Social Media
23.0,2,6,2,1,5.2,34.6,159.3,140.0,4.3,5816.0,7.8,2.8,1406.0,Gaming
43.0,2,6,6,0,6.9,3.0,74.6,117.0,3.1,1883.0,5.2,1.8,108.0,Gaming
31.0,1,0,1,1,6.8,26.2,74.5,150.0,5.1,1073.0,1.1,0.8,1393.0,Work
56.0,0,3,5,0,6.1,20.7,23.2,117.0,1.6,3672.0,3.2,2.1,430.0,Gaming
51.0,0,0,7,1,9.2,45.9,294.0,129.0,3.7,5449.0,1.0,3.8,1222.0,Entertainment
19.0,2,6,2,1,6.0,42.2,193.0,101.0,3.1,4606.0,2.2,3.9,705.0,Entertainment
26.0,2,9,9,1,11.1,1.3,51.9,52.0,0.6,1308.0,4.7,1.1,1104.0,Social Media
28.0,1,2,9,1,5.7,49.5,98.2,190.0,2.1,8715.0,7.9,3.2,195.0,Gaming
37.0,2,9,4,1,10.5,33.0,69.0,92.0,4.0,8284.0,1.3,4.1,781.0,Work
42.0,2,7,1,0,1.8,9.2,107.6,19.0,3.5,4648.0,3.7,0.6,1691.0,Education
46.0,2,9,6,0,10.0,30.8,105.6,179.0,3.9,3003.0,4.9,2.4,472.0,Entertainment
52.0,1,5,7,1,5.0,46.6,127.1,56.0,4.6,7151.0,4.1,2.2,554.0,Education
23.0,0,4,7,0,4.5,44.3,298.9,166.0,2.2,9243.0,1.2,4.4,1355.0,Entertainment
25.0,0,4,3,0,5.0,26.4,216.9,78.0,4.0,3751.0,1.7,4.4,1249.0,Entertainment
39.0,0,0,3,0,2.4,14.6,9.5,84.0,1.6,1401.0,3.6,2.0,1081.0,Education
43.0,2,7,8,1,11.4,45.5,215.1,28.0,1.1,6568.0,7.4,0.5,505.0,Social Media
39.0,1,5,7,0,8.8,40.8,237.2,190.0,2.8,5779.0,6.6,1.3,1767.0,Social Media
38.0,1,7,5,0,1.8,49.9,87.3,95.0,5.2,5891.0,6.4,0.1,1401.0,Gaming
46.0,2,7,2,0,6.7,15.8,120.9,187.0,1.2,2427.0,6.4,2.5,1186.0,Gaming
33.0,1,5,8,0,10.9,38.0,273.4,198.0,3.0,305.0,5.1,2.7,324.0,Education
51.0,2,3,3,0,10.5,28.4,182.7,86.0,1.2,1305.0,7.1,1.7,1479.0,Gaming
57.0,2,9,3,1,10.8,39.2,28.6,126.0,4.0,526.0,4.7,1.2,1610.0,Entertainment
59.0,1,9,1,0,2.3,11.6,52.3,136.0,2.9,6699.0,1.5,4.2,1239.0,Entertainment
21.0,2,6,8,0,7.2,29.6,180.6,88.0,1.4,9995.0,1.1,0.4,1727.0,Gaming
17.0,2,4,2,0,11.8,35.2,111.2,140.0,0.7,856.0,7.0,2.0,1474.0,Entertainment
22.0,1,8,1,0,8.0,12.9,82.9,113.0,3.9,2936.0,4.7,0.0,443.0,Work
25.0,1,1,0,1,1.5,25.9,24.3,62.0,4.5,9363.0,7.5,0.2,809.0,Entertainment
29.0,0,6,2,0,7.8,42.5,71.6,17.0,4.2,1972.0,3.7,3.3,990.0,Social Media
31.0,0,9,0,1,10.9,41.1,273.4,157.0,4.2,9043.0,2.8,3.4,431.0,Education
39.0,1,9,0,0,8.4,46.3,175.6,180.0,5.6,3881.0,7.0,0.1,1254.0,Social Media
15.0,2,8,6,1,10.5,39.3,77.1,137.0,2.2,8230.0,3.1,3.1,687.0,Work
21.0,1,3,0,0,3.6,5.5,30.6,200.0,4.5,5214.0,7.7,3.8,1129.0,Entertainment
56.0,1,4,2,1,11.6,31.6,123.1,150.0,2.0,7124.0,6.7,3.4,1037.0,Entertainment
29.0,0,5,9,1,4.8,8.4,253.0,62.0,5.9,1373.0,1.4,0.8,1216.0,Gaming
58.0,0,2,9,0,7.9,7.9,18.5,34.0,1.0,1875.0,3.5,0.4,1983.0,Social Media
40.0,2,2,9,0,5.5,42.8,50.0,142.0,3.6,8911.0,4.4,3.7,1226.0,Work
38.0,2,4,6,1,4.5,20.9,62.8,198.0,0.5,5339.0,0.6,3.3,767.0,Social Media
32.0,2,3,4,0,9.2,43.4,281.8,55.0,3.5,3082.0,4.6,3.9,1338.0,Work
28.0,0,4,7,0,9.3,48.8,107.2,190.0,1.4,1623.0,7.6,2.9,1839.0,Education
57.0,1,5,3,0,9.6,49.4,257.1,47.0,2.7,5899.0,6.0,2.5,414.0,Gaming
43.0,0,5,5,1,1.2,20.5,244.1,13.0,3.0,4570.0,5.3,3.2,206.0,Social Media
54.0,2,4,1,0,8.0,24.5,85.7,163.0,1.5,2640.0,3.8,1.1,1580.0,Social Media
15.0,2,9,5,1,8.5,18.6,118.8,30.0,5.8,7615.0,6.8,2.5,448.0,Education
27.0,1,5,0,1,1.5,7.8,50.7,151.0,1.1,5508.0,3.4,2.8,392.0,Education
56.0,1,2,6,0,5.2,3.5,6.7,101.0,5.5,8684.0,5.8,0.5,1627.0,Entertainment
15.0,2,5,3,0,8.9,13.9,99.2,51.0,5.4,7174.0,0.7,1.7,1837.0,Education
19.0,0,2,2,1,7.2,16.0,163.5,191.0,1.9,6130.0,4.8,1.8,1202.0,Gaming
31.0,2,8,6,1,7.5,29.2,259.3,141.0,4.5,1991.0,1.3,1.1,1936.0,Work
44.0,2,2,3,1,10.8,15.8,152.4,81.0,3.1,8153.0,7.3,1.6,1350.0,Gaming
53.0,1,4,1,0,1.4,28.9,265.2,179.0,3.9,1032.0,4.5,2.1,254.0,Entertainment
46.0,2,8,7,1,5.9,38.1,144.6,186.0,2.1,684.0,4.5,1.2,1562.0,Social Media
25.0,2,4,4,1,3.7,49.5,160.5,77.0,4.2,9444.0,1.8,0.2,1268.0,Entertainment
49.0,1,9,1,0,10.1,9.4,69.5,125.0,0.7,5893.0,4.2,4.6,837.0,Social Media
23.0,0,9,5,1,10.1,6.1,68.8,198.0,5.8,3598.0,1.6,3.9,1054.0,Work
24.0,1,3,7,0,6.1,9.0,240.6,126.0,1.0,1035.0,3.2,1.3,944.0,Gaming
21.0,1,8,5,1,6.5,1.5,115.0,196.0,2.1,1824.0,1.8,1.8,727.0,Entertainment
39.0,0,3,0,1,4.8,22.6,205.0,71.0,5.3,5852.0,3.6,3.6,1574.0,Work
50.0,0,3,2,1,3.7,48.7,57.3,52.0,3.9,7916.0,2.7,2.1,905.0,Social Media
25.0,2,4,4,0,5.2,37.5,218.5,23.0,3.1,3433.0,6.6,2.0,147.0,Education
21.0,2,7,8,0,2.9,27.6,202.1,85.0,1.8,6866.0,3.3,4.2,1149.0,Entertainment
39.0,0,4,1,1,7.7,6.6,118.1,39.0,4.9,5299.0,7.9,2.5,1795.0,Social Media
48.0,1,2,0,1,5.0,22.5,98.8,143.0,2.1,708.0,7.6,2.9,1389.0,Social Media
18.0,2,7,0,0,3.7,40.8,226.0,167.0,0.8,4554.0,0.9,4.2,411.0,Social Media
56.0,1,5,3,1,4.4,11.9,30.3,68.0,5.7,716.0,2.6,0.3,715.0,Entertainment
43.0,2,7,7,1,2.4,42.1,147.2,143.0,4.8,3847.0,5.6,4.4,1760.0,Work
59.0,1,0,9,0,8.8,31.1,216.5,122.0,2.8,3840.0,4.1,3.4,267.0,Entertainment
33.0,1,0,0,1,8.2,34.4,173.0,177.0,5.2,8751.0,0.7,3.0,850.0,Gaming
19.0,1,7,8,0,4.1,14.3,134.6,193.0,4.9,977.0,6.2,0.2,512.0,Social Media
59.0,0,6,9,0,1.5,5.3,286.9,83.0,4.8,151.0,6.9,0.4,1849.0,Gaming
49.0,1,5,3,0,1.8,14.2,176.7,138.0,3.4,4034.0,8.0,2.5,1130.0,Education
53.0,0,1,9,0,8.1,22.6,228.5,48.0,2.8,1175.0,5.0,2.2,176.0,Gaming
49.0,2,7,2,0,11.7,42.6,218.5,150.0,5.6,6184.0,6.3,0.6,1980.0,Social Media
57.0,2,2,2,1,1.1,23.3,41.1,10.0,0.8,2170.0,4.1,2.6,1653.0,Social Media
45.0,1,8,8,1,6.7,26.1,137.5,137.0,4.9,8216.0,5.6,1.3,306.0,Social Media
18.0,1,4,0,0,6.0,16.7,201.8,43.0,2.9,4640.0,5.2,4.6,1497.0,Entertainment
42.0,1,2,1,0,5.5,49.4,55.7,117.0,1.4,9032.0,2.0,4.5,332.0,Entertainment
39.0,1,4,5,0,3.1,9.3,165.3,199.0,2.6,8547.0,1.4,3.5,186.0,Social Media
60.0,1,9,7,0,11.8,40.7,134.9,75.0,2.0,837.0,2.3,1.8,387.0,Education
16.0,2,2,7,1,7.9,6.8,69.8,38.0,2.8,5468.0,7.7,4.2,1304.0,Entertainment
51.0,1,3,6,1,1.7,26.0,80.4,33.0,5.7,8873.0,4.0,1.3,1318.0,Social Media
50.0,2,3,2,1,3.8,15.6,264.9,183.0,0.9,4894.0,0.7,4.2,1740.0,Work
29.0,0,7,8,1,3.9,19.0,64.4,106.0,1.0,9942.0,3.3,0.3,612.0,Social Media
51.0,0,7,4,0,7.3,44.2,211.4,80.0,0.5,6983.0,6.1,2.5,1150.0,Gaming
50.0,2,0,3,1,5.4,15.1,40.6,130.0,5.6,3470.0,5.3,2.2,1047.0,Social Media
34.0,2,6,4,0,1.9,1.4,187.6,34.0,2.5,2706.0,0.9,4.4,287.0,Social Media
16.0,2,5,2,1,11.5,41.2,274.4,122.0,4.8,206.0,3.1,1.2,1935.0,Education
35.0,0,4,9,1,7.9,33.3,50.0,90.0,5.8,8385.0,6.2,4.0,633.0,Work
39.0,1,9,5,0,7.2,12.1,281.8,58.0,1.9,5116.0,7.6,4.5,1271.0,Social Media
38.0,1,5,3,1,5.0,27.2,166.8,152.0,1.8,1111.0,0.7,4.0,578.0,Work
34.0,2,8,6,1,9.4,9.7,96.8,19.0,4.0,7564.0,3.2,2.1,1003.0,Work
58.0,2,8,0,1,7.1,43.3,248.5,57.0,2.6,8474.0,2.0,0.9,160.0,Gaming
40.0,2,2,8,1,9.9,14.7,128.0,121.0,3.6,3870.0,5.2,3.8,258.0,Social Media
20.0,0,5,1,1,9.0,6.0,137.9,49.0,0.7,8615.0,0.8,2.3,223.0,Education
29.0,1,2,5,1,10.1,33.3,168.3,40.0,2.5,8182.0,4.9,0.2,621.0,Gaming
29.0,2,2,5,1,8.1,37.9,218.4,93.0,4.0,7142.0,5.5,0.1,157.0,Gaming
33.0,2,0,1,1,3.6,36.2,83.9,52.0,4.9,639.0,7.9,3.0,1480.0,Gaming
28.0,2,4,7,0,11.1,35.3,37.4,182.0,5.6,7845.0,3.3,2.2,1813.0,Social Media
28.0,0,5,7,1,7.5,20.6,205.1,188.0,3.7,7816.0,3.4,3.0,952.0,Social Media
47.0,1,8,3,1,8.7,25.7,196.5,14.0,5.3,2252.0,4.6,3.7,757.0,Education
39.0,0,2,1,0,12.0,32.2,35.9,16.0,4.1,1414.0,0.8,3.6,233.0,Entertainment
47.0,1,2,7,0,5.0,26.6,250.1,21.0,3.8,2485.0,7.6,0.6,1723.0,Social Media
19.0,2,8,9,0,11.7,6.2,81.7,20.0,3.3,3667.0,6.1,4.2,722.0,Social Media
54.0,1,4,1,1,8.7,30.9,286.4,173.0,3.0,2456.0,6.8,2.3,1716.0,Social Media
44.0,0,0,3,0,3.7,26.1,275.5,119.0,2.8,957.0,2.4,1.8,590.0,Work
52.0,0,7,4,0,2.2,18.7,121.5,132.0,1.1,1903.0,5.4,0.2,1804.0,Social Media
43.0,1,9,3,0,5.4,21.2,244.2,140.0,3.3,8206.0,7.9,1.0,1178.0,Social Media
50.0,1,6,4,1,4.0,9.2,267.7,53.0,5.7,6357.0,0.7,1.2,1479.0,Work
30.0,1,8,6,0,5.8,15.2,116.0,10.0,2.5,1605.0,4.7,0.2,897.0,Entertainment
38.0,2,4,7,0,5.1,18.7,67.4,147.0,3.3,5150.0,6.5,0.7,408.0,Social Media
33.0,0,4,6,0,4.3,44.9,64.7,176.0,5.2,3146.0,2.2,0.2,1484.0,Work
53.0,0,9,1,0,4.9,6.5,199.6,181.0,5.1,7676.0,3.3,0.6,1150.0,Work
56.0,1,6,4,1,10.4,47.4,168.2,127.0,1.8,126.0,5.3,1.3,319.0,Social Media
58.0,0,9,5,0,5.4,14.8,106.0,58.0,5.0,3633.0,1.7,4.6,703.0,Entertainment
31.0,0,7,0,1,11.8,35.5,132.0,91.0,4.4,4462.0,0.8,2.8,858.0,Entertainment
42.0,0,8,6,0,10.2,21.4,296.3,175.0,1.1,2252.0,3.4,1.1,716.0,Work
48.0,0,2,1,0,9.4,35.8,256.5,160.0,1.6,8873.0,5.1,1.6,882.0,Work
51.0,0,3,3,1,6.1,46.3,38.1,89.0,2.1,6856.0,5.3,0.9,1328.0,Entertainment
58.0,0,5,2,0,4.5,7.3,126.7,174.0,2.6,8052.0,7.3,2.4,779.0,Gaming
32.0,2,4,8,0,1.6,9.1,122.1,120.0,3.7,2559.0,6.0,1.3,1557.0,Gaming
41.0,0,3,7,1,4.6,49.0,89.2,28.0,4.8,8197.0,6.9,4.4,1969.0,Social Media
20.0,1,5,6,0,5.0,33.3,28.3,70.0,3.1,2828.0,3.7,2.1,418.0,Social Media
52.0,2,4,3,1,2.1,50.0,165.8,126.0,2.7,5500.0,6.4,3.9,739.0,Entertainment
53.0,2,8,1,0,3.3,43.2,102.8,140.0,1.3,1248.0,3.5,0.0,846.0,Social Media
23.0,1,2,9,1,8.4,8.0,124.2,51.0,4.3,6406.0,3.1,0.1,953.0,Education
36.0,1,4,1,0,3.0,41.0,188.4,95.0,1.8,627.0,1.7,4.0,1407.0,Social Media
34.0,0,6,3,0,3.9,43.6,296.2,193.0,0.8,2430.0,1.9,4.0,1128.0,Gaming
45.0,2,3,0,0,6.4,15.3,38.5,96.0,5.7,3191.0,7.9,4.6,1082.0,Social Media
49.0,0,0,6,1,8.4,28.8,62.6,16.0,0.7,3036.0,3.3,3.7,1184.0,Gaming
17.0,2,8,4,0,4.1,20.9,29.9,161.0,5.0,3385.0,7.8,2.3,1139.0,Education
33.0,2,3,6,0,8.7,7.5,258.6,42.0,4.6,8676.0,3.0,1.9,366.0,Gaming
41.0,2,5,4,1,6.6,44.6,56.3,28.0,2.6,4031.0,1.5,0.3,395.0,Education
45.0,2,4,4,0,3.9,3.6,154.3,183.0,5.6,3338.0,7.6,4.9,929.0,Gaming
25.0,0,3,6,1,1.5,19.1,235.2,17.0,2.0,5411.0,7.5,4.6,1540.0,Education
60.0,2,3,9,0,7.9,32.2,238.0,65.0,2.2,4387.0,7.3,4.1,171.0,Entertainment
59.0,2,7,5,0,7.2,1.0,147.4,93.0,3.6,3533.0,3.2,3.5,541.0,Work
23.0,0,1,9,0,3.2,32.2,92.2,112.0,4.1,6328.0,1.9,2.0,252.0,Social Media
21.0,1,0,6,0,2.7,25.3,76.5,169.0,5.9,2312.0,4.0,1.8,185.0,Gaming
16.0,1,2,5,0,8.2,8.4,233.3,142.0,0.9,8059.0,1.2,4.6,1804.0,Work
15.0,2,6,8,1,11.4,20.4,171.1,47.0,1.6,4815.0,7.8,4.2,535.0,Work
20.0,0,5,5,0,9.3,10.9,103.8,144.0,3.5,4535.0,1.7,2.8,1130.0,Entertainment
37.0,1,4,2,0,9.7,26.3,94.1,31.0,3.8,9853.0,7.8,4.9,644.0,Social Media
18.0,2,1,1,0,10.7,24.8,170.7,184.0,1.0,9616.0,2.0,3.8,1542.0,Work
33.0,2,3,7,0,8.3,46.6,28.4,175.0,0.6,9944.0,7.4,4.2,1390.0,Social Media
21.0,1,5,1,1,12.0,18.0,211.5,113.0,3.1,1204.0,1.3,2.0,1766.0,Work
28.0,2,0,5,0,10.1,23.4,209.2,78.0,5.7,5198.0,4.1,1.6,1712.0,Gaming
26.0,0,5,1,0,5.5,8.5,207.8,132.0,1.4,2955.0,3.0,0.5,388.0,Entertainment
51.0,2,0,5,0,5.4,49.1,106.7,126.0,1.3,187.0,5.2,0.7,1496.0,Entertainment
43.0,2,1,7,0,4.8,22.0,23.9,187.0,3.7,8962.0,6.1,4.8,519.0,Social Media
37.0,0,0,9,1,6.2,22.0,206.9,58.0,3.6,625.0,3.4,4.1,198.0,Entertainment
34.0,0,4,8,1,8.2,43.2,30.6,14.0,5.1,1312.0,6.5,3.9,1861.0,Work
45.0,1,9,8,1,3.9,15.1,68.9,124.0,5.0,1599.0,4.5,1.7,1484.0,Gaming
26.0,0,7,5,1,7.0,27.7,199.0,82.0,3.9,3790.0,5.4,3.2,1004.0,Entertainment
26.0,2,6,1,1,9.4,16.1,121.1,52.0,0.8,5732.0,1.0,4.4,1882.0,Work
55.0,0,2,2,0,7.5,4.2,71.0,171.0,1.0,8505.0,4.6,3.7,364.0,Work
20.0,1,2,6,0,4.0,2.5,219.7,83.0,4.3,891.0,0.7,3.4,706.0,Education
41.0,0,7,0,1,10.1,38.2,66.3,126.0,3.5,2472.0,3.7,4.4,1901.0,Education
25.0,0,8,2,1,6.4,8.4,5.7,168.0,3.4,4312.0,1.1,2.4,651.0,Gaming
31.0,2,8,3,1,9.5,20.0,299.1,185.0,5.2,4643.0,5.7,2.5,529.0,Social Media
36.0,2,5,3,0,1.7,1.7,179.2,103.0,3.0,737.0,2.6,2.9,810.0,Entertainment
24.0,1,7,7,1,11.1,31.5,177.7,94.0,3.3,6017.0,1.2,2.3,1413.0,Work
34.0,2,9,5,1,11.0,16.9,80.3,56.0,4.7,4364.0,7.9,4.4,1038.0,Work
33.0,2,9,8,1,7.1,29.7,140.9,149.0,3.1,7909.0,4.7,3.9,281.0,Education
43.0,1,0,9,1,3.8,25.4,66.9,80.0,2.4,824.0,3.4,1.0,1093.0,Education
20.0,2,2,7,1,8.5,49.5,199.5,136.0,0.5,8540.0,2.2,4.4,880.0,Social Media
26.0,2,4,6,0,1.7,39.0,195.8,14.0,1.8,2268.0,7.2,1.0,669.0,Work
49.0,2,7,1,1,7.1,27.5,137.6,182.0,3.5,9288.0,7.2,2.5,1342.0,Social Media
48.0,1,9,6,0,7.0,28.3,87.1,106.0,5.0,6815.0,2.5,3.4,775.0,Work
23.0,1,1,7,0,2.9,47.3,150.7,92.0,4.0,3099.0,2.7,1.9,525.0,Social Media
23.0,1,3,0,0,3.1,18.1,231.2,132.0,3.6,2624.0,2.3,1.6,1594.0,Work
40.0,0,6,6,0,6.9,16.6,65.1,164.0,1.2,5691.0,4.3,3.3,872.0,Entertainment
42.0,2,8,9,0,3.4,31.8,212.0,77.0,2.6,4230.0,7.4,1.7,1159.0,Social Media
52.0,1,1,4,1,1.3,15.1,241.0,72.0,0.9,6597.0,1.0,1.0,1841.0,Social Media
59.0,1,3,1,0,10.2,32.6,192.0,175.0,3.6,6366.0,5.5,3.0,1744.0,Social Media
58.0,0,5,0,1,11.2,14.3,287.8,106.0,5.7,7811.0,7.7,3.1,363.0,Gaming
59.0,2,4,4,0,9.9,31.3,236.6,52.0,4.7,5833.0,2.2,0.1,268.0,Education
59.0,1,6,5,0,6.4,47.2,232.7,173.0,5.9,5604.0,6.5,3.2,1404.0,Education
15.0,2,6,3,1,9.5,34.1,26.3,22.0,3.1,3896.0,1.3,2.3,782.0,Entertainment
54.0,2,9,5,1,4.5,42.6,61.8,96.0,1.5,4443.0,6.0,0.5,1786.0,Education
34.0,1,2,5,1,10.6,28.3,154.5,180.0,4.5,689.0,7.0,4.1,708.0,Education
19.0,1,4,5,0,11.4,21.7,21.3,194.0,4.5,4948.0,4.3,0.0,1343.0,Social Media
22.0,2,5,6,0,9.3,21.2,227.5,48.0,0.8,7296.0,3.0,5.0,546.0,Work
41.0,2,5,1,1,8.0,47.9,210.7,156.0,3.1,7026.0,5.2,2.0,354.0,Work
